"","x"
"839","keren"
"840","buruk login login capek  bikin kesel pilih titik tuju logout"
"841","ya  biaya mesan biaya kemas harga beli anny murah banding ongkirnya gila ongkirnya  kaget pas mesen apk"
"842","bantu"
"843","okay"
"844","good"
"845","titik maps akurat susah  nitikin lokasi  gmaps aplikasi ojol sebelah  order bikin nyasar drivernya titik lokasi suai cari ketemu update titik lokasi"
"846","hemat cepat"
"847","batal mulu driver koyo celeh ra niat kerja kecim wae"
"848","kendala arti cuman   titik lokasi akurat"
"849"," bayar bayar kemas bayar biyaya tanam pohon loding aplikasi grep"
"850","mantap"
"851","good"
"852","lumayancepat tuju   saung paniisan awi cibeet tempuh menit sukses"
"853","goof"
"854","oke"
"855","mudah pergi"
"856","update login"
"857","ok"
"858","mantap"
"859","ok"
"860","layanan bintang driver aplikasi"
"861",""
"862","supire sabare pool"
"863","terima  driver  service excellent"
"864","ragu  mantul"
"865","driver ramah"
"866","bagus"
"867","maxim bagus"
"868","nyaman  driver ramah  driver suka ngomel kak tumpang trauma mnggunakan  tumpang bayar pokok seleksi driver sopan kak tumpang tah driver ramah"
"869","white screen mulu  klik restonya map kalah aplikasi sebelah"
"870","josss bantu"
"871","bagus"
"872","ok"
"873","jos"
"874","ok"
"875","cepat  respon"
"876","mantap"
"877","mantap"
"878","bagus diskon"
"879","mudah simple ekpress"
"880","mantap"
"881","character"
"882","nyaman "
"883"," an supir potongan aplikasi rb tumpang bayar mahal tapi driver dapetnya akibat potong aplikasi manusiawi"
"884","kemudi ramah bantu"
"885","susah cari driver"
"886","najis  langgan saldo potong otomatis"
"887","kemudi sopan"
"888","tarif mahal ya"
"889","aplikasi kntol menit gua tungguin menit jembut hapus dek aplikasi"
"890","trima kang"
"891","salah pilih gue maxim  adil kemudi gue kemudi an lihat kemudi pandang sebelah mata"
"892","mantap memuaskan"
"893","ok bantu"
"894","pesan  car mucul  xl  car"
"895"," amanah bagus"
"896","biaya biaya kemas emas  biaya aplikasi motong hasil driver"
"897","nyaman"
"898","akun bekuk  jarang sekal buka apk   ya"
"899","terima  nya"
"900","layanan bike hemat"
"901","deh osah pesan pesan ojek online untung usaha doang komplen komplen pindah pindah rugi driver langgan usaha mah dobel duit nya"
"902","royal domino"
"903","terima  jemput"
"904","mantap"
"905","aplikasi bagus mudah beli  online tingkat good job"
"906","mntp"
"907","jemput duit"
"908","sekal aplikasi ini sangat bantu veripikasinya sulit"
"909","ok"
"910","download ya"
"911","mudah"
"912","buruk sekal saldo  promo kacau"
"913","ok"
"914","maless suruh update"
"915","best"
"916","mantap"
"917","bagus"
"918","jajah driver"
"919","login hp suruh masuk kode hp lamaa hp gaadaaa"
"920","nyaman"
"921","ok"
"922","ok"
"923","donlod versi hp"
"924","beli  apk jam jam pas jam segitu "
"925","bantu  hindar kemacetan nice"
"926","driver ramah anak muda keren sopan"
"927","kemudi pesan pesan kemudi suai intruksi benci  ya"
"928","potong kak driverna ulah gede teuuing ath"
"929","terima "
"930","sngat bantu"
"931"," ke mana suka order pesan"
"932","ck wings sedap"
"933",NA
"934","beli  metode tunai salah"
"935","lumayanmemuaskan"
"936","ok"
"937","Lumayan"
"938","dipengemudi kemudi cancel jdnya  cancel susah driver harga langsung "
"939","suka  harga jangkau banding aplikasi"
"940","bagus pelayanananx"
"941","discount belanja  food"
"942","mantap"
"943"," hati"
"944","mantap"
"945","hahaha"
"946","m  driver  memuaskan"
"947","bagus"
"948","bantu harga mahal mahal ya"
"949","sippp"
"950","bagus sekal"
"951","biaya suka error mesan gofood pusing deh"
"952","layanan jam"
"953","terima "
"954","update diupdate "
"955","terima "
"956","bantu "
"957","jujur ganti  nyaman "
"958","character"
"959","titik jemput suai an ojolnya"
"960","mataps"
"961","layanan pusat bantu mngecewakan tangap dilayananai"
"962","keren"
"963","character"
"964","mantap"
"965","mahal embel embel an driver lo lo noh potong gede gede gua beli potong driver"
"966","okehhhh"
"967","cepat jemput langsung berangkat"
"968","driver mesum cabul"
"969"," aplikasi utama prioritas maximal thanks  aplication best of the best"
"970","mantap"
"971"," ubah sistem cancel order live chat telfon reguler  rating rubah"
"972","tks"
"973","map ngebug  ngebug an drivernya"
"974","diskon gratis ongkir hehe"
"975","bantu"
"976","jos ghandoz"
"977","good"
"978","suruh update butuh   bantu"
"979","nya bintang gue turunin deh kapolda jwbn maaf tok"
"980","mangtebs"
"981","puas"
"982","bagus "
"983",NA
"984","lumayancepat hrg murah"
"985","mantap superx bagus "
"986","good"
"987","puas "
"988","okoookolo orang lokkkkkkooloool"
