"","x"
"657","laku ya gojek gopay pinjam bunga kayak rentenir wakakaka riba mending gofood harga naikin jual ongkir mahal beli langsung aplikasi susah driver ulas tuh google orang wakakaka lagi deh gojek"
"658","hebat"
"659","bintang biaya mahal"
"660","mantap manfaat"
"661","download app nomor hp "
"662","ok"
"663","sulit paham aplikasi"
"664","topmarkocob"
"665","susah komplain in jasa layan bingung komplain berbelit aplikasi simpan layan call centernya cepat selesai"
"666","good jobb"
"667","pasang titik suai pas titik ubah batalin untung share lok drivernya ongkirnya nglebihin harga barang"
"668","aplikasi bagus voucher makan untung "
"669","apl jelek ambil gamar"
"670","keren"
"671","good"
"672","character"
"673","diskon paylater dsb sampi numpuk hangus cod diskon ribu perak apk pelit"
"674","good"
"675","voucher promo gofood error isi saldo sia hubung cs no respon"
"676","character"
"677","en rating saldo gopay gue hilang persetujuan gue tips driver nomilanya tata krama cs servis bantua lapor apk sekal bantu bye apk"
"678","salah top up nomor gopay selesa aneh nomor salah aktif gojek hasil top up nomor"
"679","nyaman aman"
"680","bagus makan mudah gojek mudah aplikasi lancar"
"681","keren"
"682","ok cepat"
"683","like"
"684","ok"
"685","character"
"686","good"
"687","pliiiissssssssssssssssssss ssssssssssssssssssssssssssssssssssssssssssssssssssssssss top up"
"688","kerja bagus"
"689","josssss"
"690","detik anan langsung batal batal"
"691","sistem jemput tumpang driver kemarin order stasiun driver kitar stasiun lumayan eh buru buru aplikator receh an driver baharuin hitung sistem nya"
"692","performa aplikasi buruk internet cepat gbps akses aplikasi gojek rugi error aplikasi"
"693","te pe"
"694","gacor"
"695","biaya aplikasi nurul"
"696","mantap bos"
"697","gut"
"698","ok"
"699","tagih juni gopaylater lunas mei transaksi tanggal mei tagih juni sistem periode transaksi mei tagih juli sistem"
"700","likeeeeeee"
"701","good"
"702","wes ngono war"
